abil_code,abil_name_en,abil_name_ja,abil_is_role,abil_is_rece,abil_is_entr,abil_is_trac,abil_is_sksw,abil_is_gast,abil_is_mold,abil_is_tran
adaptability,Adaptability,てきおうりょく,No,No,No,No,No,No,No,No
aftermath,Aftermath,ゆうばく,No,No,No,No,No,No,No,No
airlock,Air Lock,エアロック,No,No,No,No,No,No,No,No
angerpoint,Anger Point,いかりのつぼ,No,No,No,No,No,No,No,No
anticipation,Anticipation,きけんよち,No,No,No,No,No,No,No,No
arenatrap,Arena Trap,ありじごく,No,No,No,No,No,No,No,No
baddreams,Bad Dreams,ナイトメア,No,No,No,No,No,No,No,No
battlearmor,Battle Armor,カブトアーマー,No,No,No,No,No,No,Yes,No
blaze,Blaze,もうか,No,No,No,No,No,No,No,No
chlorophyll,Chlorophyll,ようりょくそ,No,No,No,No,No,No,No,No
clearbody,Clear Body,クリアボディ,No,No,No,No,No,No,Yes,No
cloudnine,Cloud Nine,ノーてんき,No,No,No,No,No,No,No,No
colorchange,Color Change,へんしょく,No,No,No,No,No,No,No,No
compoundeyes,Compoundeyes,ふくがん,No,No,No,No,No,No,No,No
cutecharm,Cute Charm,メロメロボディ,No,No,No,No,No,No,No,No
damp,Damp,しめりけ,No,No,No,No,No,No,Yes,No
download,Download,ダウンロード,No,No,No,No,No,No,No,No
drizzle,Drizzle,あめふらし,No,No,No,No,No,No,No,No
drought,Drought,ひでり,No,No,No,No,No,No,No,No
dryskin,Dry Skin,かんそうはだ,No,No,No,No,No,No,Yes,No
earlybird,Early Bird,はやおき,No,No,No,No,No,No,No,No
effectspore,Effect Spore,ほうし,No,No,No,No,No,No,No,No
filter,Filter,フィルター,No,No,No,No,No,No,Yes,No
flamebody,Flame Body,ほのおのからだ,No,No,No,No,No,No,No,No
flashfire,Flash Fire,もらいび,No,No,No,No,No,No,Yes,No
flowergift,Flower Gift,フラワーギフト,Yes,Yes,Yes,Yes,No,No,Yes,No
forecast,Forecast,てんきや,Yes,Yes,Yes,Yes,No,No,No,No
