item_code,item_img,item_name_en,item_name_ja,item_desc_en,item_desc_ja,item_price_buy_ye,item_price_sel_ye,item_price_buy_bp,item_price_buy_cn,item_price_buy_ap,item_flin,item_type_code,item_pkt_code,item_cat_code
masterball,master-ball,Master Ball,マスターボール,It will catch any wild Pokémon without fail.,野生ポケモンなら必ず捕獲に成功する。,null,null,null,null,null,30,item,ip-ball,ic-ball
ultraball,ultra-ball,Ultra Ball,ハイパーボール,2.0 capture rate.,捕獲補正率は2.0。,1200,600,null,null,null,30,item,ip-ball,ic-ball
greatball,great-ball,Great Ball,スーパーボール,1.5 capture rate.,捕獲補正率は1.5。,600,300,null,null,null,30,item,ip-ball,ic-ball
pokeball,poke-ball,Poké Ball,モンスターボール,1.0 capture rate.,捕獲補正率は1.0。,200,100,null,null,null,30,item,ip-ball,ic-ball
safariball,safari-ball,Safari Ball,サファリボール,1.5 capture rate. Can only be used in the Safari Zone.,捕獲補正率は1.5。サファリゾーンでのみ使うことが できる。,null,null,null,null,null,30,item,ip-ball,ic-ball
netball,net-ball,Net Ball,ネットボール,"3.0 capture rate against Water-type or Bug-type opponents. Otherwise, it’s 1.0.",相手がみず、むしタイプなら捕獲補正率は3.0。それ以外なら1.0。,1000,500,null,null,null,30,item,ip-ball,ic-ball
diveball,dive-ball,Dive Ball,ダイブボール,"3.0 capture rate when diving, fishing or surfing. Otherwise, it’s 1.0.",すいちゅう・釣り・水上で出現したポケモンなら捕獲補正率は3.5、他は1.0。,1000,500,null,null,null,30,item,ip-ball,ic-ball
nestball,nest-ball,Nest Ball,ネストボール,"If the opponent is level 19 or lower, the capture rate is 3.0. If the opponent is level between 20 and 29, then it's is 2.0. Otherwise, it’s 1.0.",相手がレベル19以下の場合、捕獲補正率は3.0。レベル20から29の場合、捕獲補正率は2.0。それ以外は1.0。,1000,500,null,null,null,30,item,ip-ball,ic-ball
repeatball,repeat-ball,Repeat Ball,リピートボール,"If the Pokémon has already been caught, the capture rate is 3.0. Otherwise, it’s 1.0.",すでにつかまえたことのあるポケモンなら、捕獲補正率は3.0。それ以外なら1.0。,1000,500,null,null,null,30,item,ip-ball,ic-ball
timerball,timer-ball,Timer Ball,タイマーボール,"If the turn number is 10 or below, the capture rate is 1.0. Between 11 and 20, it's 2.0. Between 21 and 30, it's 3.0. Over turn 30, it's 4.0.",ターンが10以下の場合、捕獲率は1.0です。11〜20の場合は2.0、21〜30の場合は3.0、30ターンを超えると4.0になります。,1000,500,null,null,null,30,item,ip-ball,ic-ball
luxuryball,luxury-ball,Luxury Ball,ゴージャスボール,1.0x capture rate. Doubles all Happiness earned.,捕獲補正率は1.0。なつき度が上昇するイベント時になつき度がさらに+1される。,1000,500,null,null,null,30,item,ip-ball,ic-ball
premierball,premier-ball,Premier Ball,プレミアボール,1.0x capture rate.,捕獲補正率は1.0。,null,100,null,null,null,30,item,ip-ball,ic-ball
duskball,dusk-ball,Dusk Ball,ダークボール,"3.0 capture rate when used at night or in caves. Otherwise, it’s 1.0.",夜・深夜や洞窟内で使用すると3.5。その他で使用すると1.0。,1000,500,null,null,null,30,item,ip-ball,ic-ball
healball,heal-ball,Heal Ball,ヒールボール,1.0 capture rate. The caught Pokémon is completely healed.,捕獲補正率は1.0。捕まえたポケモンのHPとPPを全回復し、状態異常を治す。,300,150,null,null,null,30,item,ip-ball,ic-ball
quickball,quick-ball,Quick Ball,クイックボール,"4.0 capture rate on the first turn. Otherwise, it’s 1.0.",1ターン目に使用すると捕獲補正率は4.0。2ターン目以降は1.0。,1000,500,null,null,null,30,item,ip-ball,ic-ball
cherishball,cherish-ball,Cherish Ball,プレシャスボール,Holds Pokémon given in events.,イベント配布されたポケモンが入っている。,null,null,null,null,null,null,item,ip-ball,ic-ball
fastball,fast-ball,Fast Ball,スピードボール,"If the opponent's Speed stat is 100 or more, the capture rate is 4.0, Otherwise, it’s 1.0.",相手のすばやさ種族値が100以上捕獲補正率は4.0、それ未満なら1.0。,null,null,null,null,null,null,item,ip-ball,ic-ball
levelball,level-ball,Level Ball,レベルボール,Capture rate depends on the levels of both your Pokémon and the opponent Pokémon.,自分が場に出しているポケモンと相手のポケモンのレベルを比較し、自分のポケモンのレベルが高いほど捕獲しやすくなる。,null,null,null,null,null,null,item,ip-ball,ic-ball
lureball,lure-ball,Lure Ball,ルアーボール,"3.0 capture rate when fishing. Otherwise, it’s 1.0.",釣りで出現したポケモンなら捕獲補正率は3.0、他は1.0。,null,null,null,null,null,null,item,ip-ball,ic-ball
heavyball,heavy-ball,Heavy Ball,ヘビーボール,Adds a value to the capture rate based on the opponent's weight.,対象のおもさに対応した定数を捕捉率に加える。,null,null,null,null,null,null,item,ip-ball,ic-ball
loveball,love-ball,Love Ball,ラブラブボール,"If the Pokémon are of different genders and of the same species, then the capture rate is 8.",自分の出しているポケモンと同じ種類で、かつ逆の性別のポケモンのみ捕獲補正率は8.0。それ以外は1.0。,null,null,null,null,null,null,item,ip-ball,ic-ball
friendball,friend-ball,Friend Ball,フレンドボール,1.0 capture rate. Sets the happiness of the caught Pokémon to 200.,捕獲補正率は1.0。捕獲したポケモンはなつき度が200になる。,null,null,null,null,null,null,item,ip-ball,ic-ball
moonball,moon-ball,Moon Ball,ムーンボール,"4.0 capture rate for Pokémon that evolve with the MoonStone. Otherwise, it’s 1.0.",つきのいしで進化するポケモンのみ捕獲補正率は4.0。それ以外は1.0。,null,null,null,null,null,null,item,ip-ball,ic-ball
sportball,sport-ball,Sport Ball,コンペボール,1.5 capture rate. It's used to catch Pokémon within the National Park.,捕獲補正率は1.5。むしとりたいかいに参加すると、20個貸し出される。,null,null,null,null,null,null,item,ip-ball,ic-ball
parkball,park-ball,Park Ball,パークボール,Used in the Pal Park capture contests. ,ハマナスパークのなかで 使う特別なボール。,null,null,null,null,null,null,item,ip-ball,ic-ball
potion,potion,Potion,キズぐすり,Heals a Pokémon by 20HP.,HPを20回復。,200,100,null,null,null,30,item,ip-med,ic-med
antidote,antidote,Antidote,どくけし,Heals the Poison Status Ailment.,どくともうどく状態を回復する。,100,50,null,null,null,30,item,ip-med,ic-med
burnheal,burn-heal,Burn Heal,やけどなおし,Heals the Burn Status Ailment.,やけど状態を回復させる,250,125,null,null,null,30,item,ip-med,ic-med
iceheal,ice-heal,Ice Heal,こおりなおし,Heals the Frozen Status Ailment.,こおり状態を回復させる。,250,125,null,null,null,30,item,ip-med,ic-med
awakening,awakening,Awakening,ねむけざまし,Heals the Sleep Status Ailment.,ねむり状態を回復させる。,250,125,null,null,null,30,item,ip-med,ic-med
paralyzeheal,paralyze-heal,Paralyze Heal,まひなおし,Heals the Paralysis Status Ailment.,まひ状態を回復させる。,200,100,null,null,null,30,item,ip-med,ic-med
fullrestore,full-restore,Full Restore,かいふくのくすり,Completely heals a Pokémon's HP and Status.,HPを全回復し、状態異常を回復する。,3000,1500,null,null,500,30,item,ip-med,ic-med
maxpotion,max-potion,Max Potion,まんたんのくすり,Completely heals a Pokémon's HP.,HPを全回復する。,2500,1250,null,null,null,30,item,ip-med,ic-med
hyperpotion,hyper-potion,Hyper Potion,すごいキズぐすり,Heals a Pokémon by 200HP.,HPを200回復する。,1500,750,null,null,null,30,item,ip-med,ic-med
superpotion,super-potion,Super Potion,いいキズぐすり,Heals a Pokémon by 50HP.,HPを50回復。,700,350,null,null,null,30,item,ip-med,ic-med
