move_mthd_code,move_name_en
pulse,Aura Sphere
pulse,Dark Pulse
pulse,Dragon Pulse
pulse,Heal Pulse
pulse,Origin Pulse
pulse,Terrain Pulse
pulse,Water Pulse
ball,Acid Spray
ball,Aura Sphere
ball,Barrage
ball,Beak Blast
ball,Bullet Seed
ball,Egg Bomb
ball,Electro Ball
ball,Energy Ball
ball,Focus Blast
ball,Gyro Ball
ball,Ice Ball
ball,Magnet Bomb
ball,Mist Ball
ball,Mud Bomb
ball,Octazooka
ball,Pollen Puff
ball,Pyro Ball
ball,Rock Blast
ball,Rock Wrecker
ball,Searing Shot
ball,Seed Bomb
ball,Shadow Ball
ball,Sludge Bomb
ball,Syrup Bomb
ball,Weather Ball
ball,Zap Cannon
biting,Bite
biting,Crunch
biting,Fire Fang
biting,Fishious Rend
biting,Hyper Fang
biting,Ice Fang
biting,Jaw Lock
biting,Poison Fang
biting,Psychic Fangs
biting,Thunder Fang
dance,Aqua Step
dance,Clangorous Soul
dance,Dragon Dance
dance,Feather Dance
dance,Fiery Dance
dance,Lunar Dance
dance,Petal Dance
dance,Quiver Dance
dance,Revelation Dance
dance,Swords Dance
dance,Teeter Dance
dance,Victory Dance
explosive,Explosion
explosive,Mind Blown
explosive,Misty Explosion
explosive,Self-Destruct
powder,Cotton Spore
powder,Magic Powder
powder,Poison Powder
powder,Powder
powder,Rage Powder
powder,Sleep Powder
powder,Spore
powder,Stun Spore
punching,Bullet Punch
punching,Comet Punch
punching,Dizzy Punch
punching,Double Iron Bash
punching,Drain Punch
punching,Dynamic Punch
punching,Fire Punch
punching,Focus Punch
punching,Hammer Arm
punching,Headlong Rush
punching,Ice Hammer
punching,Ice Punch
punching,Jet Punch
punching,Mach Punch
punching,Mega Punch
punching,Meteor Mash
punching,Plasma Fists
punching,Power-Up Punch
punching,Rage Fist
punching,Shadow Punch
punching,Sky Uppercut
punching,Surging Strikes
punching,Thunder Punch
punching,Wicked Blow
slicing,Aerial Ace
slicing,Air Cutter
slicing,Air Slash
slicing,Aqua Cutter
slicing,Behemoth Blade
slicing,Bitter Blade
slicing,Ceaseless Edge
slicing,Cross Poison
slicing,Cut
slicing,Fury Cutter
slicing,Kowtow Cleave
slicing,Leaf Blade
slicing,Mighty Cleave
slicing,Night Slash
slicing,Population Bomb
slicing,Psyblade
slicing,Psycho Cut
slicing,Razor Leaf
slicing,Razor Shell
slicing,Sacred Sword
slicing,Secret Sword
slicing,Slash
slicing,Solar Blade
slicing,Stone Axe
slicing,Tachyon Cutter
slicing,X-Scissor
sound,Alluring Voice
sound,Boomburst
sound,Bug Buzz
sound,Chatter
sound,Clanging Scales
sound,Clangorous Soul
sound,Clangorous Soulblaze
sound,Confide
sound,Disarming Voice
sound,Echoed Voice
sound,Eerie Spell
sound,Grass Whistle
sound,Growl
sound,Heal Bell
sound,Howl
sound,Hyper Voice
sound,Metal Sound
sound,Noble Roar
sound,Overdrive
sound,Parting Shot
sound,Perish Song
sound,Psychic Noise
sound,Relic Song
sound,Roar
sound,Round
sound,Screech
sound,Shadow Panic
sound,Sing
sound,Snarl
sound,Snore
sound,Sparkling Aria
sound,Supersonic
sound,Torch Song
sound,Uproar
wind,Aeroblast
wind,Air Cutter
wind,Bleakwind Storm
wind,Blizzard
wind,Fairy Wind
wind,Gust
wind,Heat Wave
wind,Hurricane
wind,Icy Wind
wind,Petal Blizzard
wind,Sandsear Storm
wind,Sandstorm
wind,Springtide Storm
wind,Tailwind
wind,Twister
wind,Whirlwind
wind,Wildbolt Storm
