natu_code,natu_name_en,natu_name_ja,stat_code_red,stat_code_blue
hardy,Hardy,がんばりや,atk,atk
lonely,Lonely,さみしがり,atk,def
brave,Brave,ゆうかん,atk,spe
adamant,Adamant,いじっぱり,atk,spatk
naughty,Naughty,やんちゃ,atk,spdef
bold,Bold,ずぶとい,def,atk
docile,Docile,すなお,def,def
relaxed,Relaxed,のんき,def,spe
impish,Impish,わんぱく,def,spatk
lax,Lax,のうてんき,def,spdef
timid,Timid,おくびょう,spe,atk
hasty,Hasty,せっかち,spe,def
serious,Serious,まじめ,spe,spe
jolly,Jolly,ようき,spe,spatk
naive,Naive,むじゃき,spe,spdef
modest,Modest,ひかえめ,spatk,atk
mild,Mild,おっとり,spatk,def
quiet,Quiet,れいせい,spatk,spe
bashful,Bashful,てれや,spatk,spatk
rash,Rash,うっかりや,spatk,spdef
calm,Calm,おだやか,spdef,atk
gentle,Gentle,おとなしい,spdef,def
sassy,Sassy,なまいき,spdef,spe
careful,Careful,しんちょう,spdef,spatk
quirky,Quirky,きまぐれ,spdef,spdef
