npc_code,npc_name_en,npc_name_ja,npc_title_code
npc-manabu,Alan,マナブ,titl-sch
npc-rika,Dana,リカ,titl-ska
npc-minoru,Tully,ミノル,titl-fish
npc-mizuho,Gina,ミズホ,titl-piga
npc-kakototoko,Kay & Tia,カコとトコ,titl-twin
npc-gorou,Joey,ゴロウ,titl-pan
npc-genki,Huey,ゲンキ,titl-sail
npc-tarou,Parry,タロウ,titl-yama
npc-emi,Erin,エミ,titl-piga
npc-motohiro,Vance,モトヒロ,titl-tori
npc-takenori,Kenji,タケノリ,titl-kara
npc-eiji,Jose,エイジ,titl-tori
npc-hayato,Falkner,ハヤト,titl-gym
npc-tsukushi,Bugsy,ツクシ,titl-gym
npc-akane,Whitney,アカネ,titl-gym
npc-matsuba,Morty,マツバ,titl-gym
npc-shijima,Chuck,シジマ,titl-gym
npc-mikan,Jasmine,ミカン,titl-gym
npc-yanagi,Pryce,ヤナギ,titl-gym
npc-ibuki,Clair,イブキ,titl-gym
npc-takeshi,Brock,タケシ,titl-gym
npc-kasumi,Misty,カスミ,titl-gym
npc-machisu,Lt. Surge,マチス,titl-gym
npc-erika,Erika,エリカ,titl-gym
npc-anzu,Janine,アンズ,titl-gym
npc-natsume,Sabrina,ナツメ,titl-gym
npc-katsura,Blaine,カツラ,titl-gym
npc-guriin,Blue,グリーン,titl-gym
npc-natsuho,Reena,ナツホ,titl-eri
npc-yuki,Krise,ユキ,titl-ska
npc-junya,Ernest,ジュンヤ,titl-bike
npc-ryuji,Reese,リュウジ,titl-bike
npc-shuuichi,Jack,シュウイチ,titl-sch
npc-makoto,Brent,マコト,titl-mani
npc-torazou,Aiden,トラゾウ,titl-bike
npc-toshiharu,Walt,トシハル,titl-fire
npc-tamon,Tanner,タモン,titl-kabo
npc-youta,Arnie,ヨウタ,titl-bug
npc-chisato,Tiffany,チサト,titl-piga
npc-kaaneru,Alfred,カーネル,titl-gen
npc-kouichi,Wade,コウイチ,titl-bug
npc-kazumasa,Josh,カズマサ,titl-tori
npc-yasuaki,Ralph,ヤスアキ,titl-fish
npc-michihiko,Doug,ミチヒコ,titl-bug
npc-naofumi,Kyle,ナオフミ,titl-fish
npc-fumitoshi,Torin,フミトシ,titl-sch
npc-hidenori,Wilton,ヒデノリ,titl-fish
npc-shun,Gaven,シュン,titl-eri
npc-kaori,Liz,カオリ,titl-piga
npc-makio,Kyler,マキオ,titl-fish
npc-kyouko,Hillary,キョウコ,titl-sen
npc-kurio,Chad,クリオ,titl-sch
npc-kazuhiko,Rob,カズヒコ,titl-bug
npc-hitomi,Jamie,ヒトミ,titl-eri
npc-katsutorita,Tim & Sue,カツとリタ,titl-rabu
npc-tsutomu,Anthony,ツトム,titl-yama
npc-kiichi,Billy,キイチ,titl-sch
npc-youichi,Todd,ヨウイチ,titl-kabo
npc-shouhei,Ian,ショウヘイ,titl-pan
npc-noriyoshi,Kenny,ノリヨシ,titl-yama
