pd_name_sta,pd_name_end,evo_cond_code,lv
フシギダネ,フシギソウ,lv,16
フシギソウ,フシギバナ,lv,32
ヒトカゲ,リザード,lv,16
リザード,リザードン,lv,36
ゼニガメ,カメール,lv,16
カメール,カメックス,lv,36
キャタピー,トランセル,lv,7
トランセル,バタフリー,lv,10
ビードル,コクーン,lv,7
コクーン,スピアー,lv,10
ポッポ,ピジョン,lv,18
ピジョン,ピジョット,lv,36
コラッタ,ラッタ,lv,20
オニスズメ,オニドリル,lv,20
アーボ,アーボック,lv,22
ピチュー,ピカチュウ,fr,null
ピカチュウ,ライチュウ,st,null
サンド,サンドパン,lv,22
ニドラン♀,ニドリーナ,lv,16
ニドリーナ,ニドクイン,sm,null
ニドラン♂,ニドリーノ,lv,16
ニドリーノ,ニドキング,sm,null
ピィ,ピッピ,fr,null
ピッピ,ピクシー,sm,null
ロコン,キュウコン,sf,null
ププリン,プリン,fr,null
プリン,プクリン,sm,null
ズバット,ゴルバット,lv,22
ゴルバット,クロバット,fr,null
ナゾノクサ,クサイハナ,lv,21
クサイハナ,ラフレシア,sl,null
クサイハナ,キレイハナ,ss,null
パラス,パラセクト,lv,24
コンパン,モルフォン,lv,31
ディグダ,ダグトリオ,lv,26
ニャース,ペルシアン,lv,28
コダック,ゴルダック,lv,33
マンキー,オコリザル,lv,28
ガーディ,ウインディ,sf,null
ニョロモ,ニョロゾ,lv,25
ニョロゾ,ニョロボン,sw,null
ニョロゾ,ニョロトノ,tk,null
ケーシィ,ユンゲラー,lv,16
ユンゲラー,フーディン,tr,null
ワンリキー,ゴーリキー,lv,28
ゴーリキー,カイリキー,tr,null
マダツボミ,ウツドン,lv,21
ウツドン,ウツボット,sl,null
メノクラゲ,ドククラゲ,lv,30
イシツブテ,ゴローン,lv,25
ゴローン,ゴローニャ,tr,null
ポニータ,ギャロップ,lv,40
ヤドン,ヤドラン,lv,37
ヤドン,ヤドキング,tk,null
コイル,レアコイル,lv,30
レアコイル,ジバコイル,zc,null
ドードー,ドードリオ,lv,31
パウワウ,ジュゴン,lv,34
ベトベター,ベトベトン,lv,38
シェルダー,パルシェン,sw,null
ゴース,ゴースト,lv,25
ゴースト,ゲンガー,tr,null
イワーク,ハガネール,tm,null
スリープ,スリーパー,lv,26
クラブ,キングラー,lv,28
ビリリダマ,マルマイン,lv,30
タマタマ,ナッシー,sl,null
カラカラ,ガラガラ,lv,28
バルキー,サワムラー,h1,null
バルキー,エビワラー,h2,null
バルキー,カポエラー,h3,null
ベロリンガ,ベロベルト,mr,null
ドガース,マタドガス,lv,35
サイホーン,サイドン,lv,42
サイドン,ドサイドン,tp,null
ピンプク,ラッキー,io,null
ラッキー,ハピナス,fr,null
モンジャラ,モジャンボ,ma,null
タッツー,シードラ,lv,32
シードラ,キングドラ,td,null
トサキント,アズマオウ,lv,33
ヒトデマン,スターミー,sw,null
マネネ,バリヤード,mm,null
ストライク,ハッサム,tm,null
ムチュール,ルージュラ,lv,30
エレキッド,エレブー,lv,30
エレブー,エレキブル,te,null
ブビィ,ブーバー,lv,30
ブーバー,ブーバーン,tg,null
コイキング,ギャラドス,lv,20
イーブイ,シャワーズ,sw,null
イーブイ,サンダース,st,null
イーブイ,ブースター,sf,null
イーブイ,エーフィ,fd,null
イーブイ,ブラッキー,fn,null
イーブイ,リーフィア,zm,null
イーブイ,グレイシア,zi,null
ポリゴン,ポリゴン2,tu,null
ポリゴン2,ポリゴンZ,t2,null
オムナイト,オムスター,lv,40
カブト,カブトプス,lv,40
ゴンベ,カビゴン,fr,null
ミニリュウ,ハクリュー,lv,30
ハクリュー,カイリュー,lv,55
チコリータ,ベイリーフ,lv,16
ベイリーフ,メガニウム,lv,32
