pw_unlc_code,pw_unlc_desc_en,pw_unlc_desc_ja
pw-unlc-str,Beginning,初期
pw-unlc-50,50 Watts,50 ワット
pw-unlc-200,200 Watts,200 ワット
pw-unlc-500,500 Watts,500 ワット
pw-unlc-1k,1000 Watts,1000 ワット
pw-unlc-2k,2000 Watts,2000 ワット
pw-unlc-3k,3000 Watts,3000 ワット
pw-unlc-5k,5000 Watts,5000 ワット
pw-unlc-7k,7500 Watts,7500 ワット
pw-unlc-10k,10000 Watts,10000 ワット
pw-unlc-15k,15000 Watts,15000 ワット
pw-unlc-20k,20000 Watts,20000 ワット
pw-unlc-25k,25000 Watts,25000 ワット
pw-unlc-30k,30000 Watts,30000 ワット
pw-unlc-40k,40000 Watts,40000 ワット
pw-unlc-50k,50000 Watts,50000 ワット
pw-unlc-65k,65000 Watts,65000 ワット
pw-unlc-80k,80000 Watts,80000 ワット
pw-unlc-100k,100000 Watts,100000 ワット
pw-unlc-gts,International GTS Trade,海外GTS通信交換
pw-unlc-ji,Obtain Jirachi,ジラーチを入手
pw-unlc-eve,Event,配布
