zone_name_code,zone_name_en,zone_name_ja
zn-city-bark,New Bark Town,ワカバタウン
zn-city-cher,Cherrygrove City,ヨシノシティ
zn-city-vio,Violet City,キキョウシティ
zn-city-aza,Azalea Town,ヒワダタウン
zn-city-gold,Goldenrod City,コガネシティ
zn-city-ecru,Ecruteak City,エンジュシティ
zn-city-oliv,Olivine City,アサギシティ
zn-city-cian,Cianwood City,タンバシティ
zn-city-maho,Mahogany Town,チョウジタウン
zn-city-thor,Blackthorn City,フスベシティ
zn-city-ver,Vermilion City,クチバシティ
zn-city-saf,Saffron City,ヤマブキシティ
zn-city-lav,Lavender Town,シオンタウン
zn-city-ceru,Cerulean City,ハナダシティ
zn-city-cel,Celadon City,タマムシシティ
zn-city-fu,Fuchsia City,セキチクシティ
zn-city-pew,Pewter City,ニビシティ
zn-city-viri,Viridian City,トキワシティ
zn-city-pall,Pallet Town,マサラタウン 
zn-main,Main Area,メインエリア
zn-gym,Gym,ジム
zn-misc-harb,Harbor,船乗り場
zn-misc-clif,Cliff Edge Gate,がけっぷちゲート
zn-misc-dojo,Fighting Dojo,かくとうどうじょう
zn-rout-1,Route 1,1ばんどうろ
zn-rout-2,Route 2,2ばんどうろ
zn-rout-3,Route 3,3ばんどうろ
zn-rout-4,Route 4,4ばんどうろ
zn-rout-5,Route 5,5ばんどうろ
zn-rout-6,Route 6,6ばんどうろ
zn-rout-7,Route 7,7ばんどうろ
zn-rout-8,Route 8,8ばんどうろ
zn-rout-9,Route 9,9ばんどうろ
zn-rout-10,Route 10,10ばんどうろ
zn-rout-11,Route 11,11ばんどうろ
zn-rout-12,Route 12,12ばんどうろ
zn-rout-13,Route 13,13ばんどうろ
zn-rout-14,Route 14,14ばんどうろ
zn-rout-15,Route 15,15ばんどうろ
zn-rout-16,Route 16,16ばんどうろ
zn-rout-17,Route 17,17ばんどうろ
zn-rout-18,Route 18,18ばんどうろ
zn-rout-19,Route 19,19ばんどうろ
zn-rout-20,Route 20,20ばんどうろ
zn-rout-21,Route 21,21ばんどうろ
zn-rout-22,Route 22,22ばんどうろ
zn-rout-23,Route 23,23ばんどうろ
zn-rout-24,Route 24,24ばんどうろ
zn-rout-25,Route 25,25ばんどうろ
zn-rout-26,Route 26,26ばんどうろ
zn-rout-27,Route 27,27ばんどうろ
zn-rout-28,Route 28,28ばんどうろ
zn-rout-29,Route 29,29ばんどうろ
zn-rout-30,Route 30,30ばんどうろ
zn-rout-31,Route 31,31ばんどうろ
zn-rout-32,Route 32,32ばんどうろ
zn-rout-33,Route 33,33ばんどうろ
zn-rout-34,Route 34,34ばんどうろ
zn-rout-35,Route 35,35ばんどうろ
zn-rout-36,Route 36,36ばんどうろ
zn-rout-37,Route 37,37ばんどうろ
zn-rout-38,Route 38,38ばんどうろ
zn-rout-39,Route 39,39ばんどうろ
zn-rout-40,Route 40,40ばんどうろ
zn-rout-41,Route 41,41ばんどうろ
zn-rout-42,Route 42,42ばんどうろ
zn-rout-43,Route 43,43ばんどうろ
zn-rout-44,Route 44,44ばんどうろ
zn-rout-45,Route 45,45ばんどうろ
zn-rout-46,Route 46,46ばんどうろ
zn-rout-47,Route 47,47ばんどうろ
zn-rout-48,Route 48,48ばんどうろ
